image_id,class_id,species,breed_id,official_split,species_name,breed_name
Abyssinian_123,1,1,1,trainval,cat,Abyssinian
great_pyrenees_152,16,2,10,trainval,dog,great_pyrenees
samoyed_17,30,2,20,trainval,dog,samoyed
pomeranian_172,25,2,17,trainval,dog,pomeranian
boxer_111,9,2,5,trainval,dog,boxer
Egyptian_Mau_192,12,1,6,trainval,cat,Egyptian_Mau
american_bulldog_136,2,2,1,trainval,dog,american_bulldog
shiba_inu_16,32,2,22,trainval,dog,shiba_inu
boxer_149,9,2,5,trainval,dog,boxer
newfoundland_169,23,2,16,trainval,dog,newfoundland
havanese_140,17,2,11,trainval,dog,havanese
Sphynx_131,34,1,12,trainval,cat,Sphynx
Bengal_151,6,1,2,trainval,cat,Bengal
great_pyrenees_181,16,2,10,trainval,dog,great_pyrenees
havanese_178,17,2,11,trainval,dog,havanese
yorkshire_terrier_165,37,2,25,trainval,dog,yorkshire_terrier
Persian_197,24,1,8,trainval,cat,Persian
Bombay_151,8,1,4,trainval,cat,Bombay
wheaten_terrier_155,36,2,24,trainval,dog,wheaten_terrier
Ragdoll_172,27,1,9,trainval,cat,Ragdoll
pug_140,26,2,18,trainval,dog,pug
english_cocker_spaniel_189,13,2,7,trainval,dog,english_cocker_spaniel
Bengal_172,6,1,2,trainval,cat,Bengal
pug_109,26,2,18,trainval,dog,pug
Russian_Blue_128,28,1,10,trainval,cat,Russian_Blue
British_Shorthair_166,10,1,5,trainval,cat,British_Shorthair
american_pit_bull_terrier_159,3,2,2,trainval,dog,american_pit_bull_terrier
chihuahua_115,11,2,6,trainval,dog,chihuahua
saint_bernard_13,29,2,19,trainval,dog,saint_bernard
scottish_terrier_186,31,2,21,trainval,dog,scottish_terrier
german_shorthaired_155,15,2,9,trainval,dog,german_shorthaired
newfoundland_105,23,2,16,trainval,dog,newfoundland
keeshond_185,19,2,13,trainval,dog,keeshond
boxer_185,9,2,5,trainval,dog,boxer
american_pit_bull_terrier_171,3,2,2,trainval,dog,american_pit_bull_terrier
boxer_152,9,2,5,trainval,dog,boxer
samoyed_184,30,2,20,trainval,dog,samoyed
Maine_Coon_17,21,1,7,trainval,cat,Maine_Coon
chihuahua_179,11,2,6,trainval,dog,chihuahua
english_setter_167,14,2,8,trainval,dog,english_setter
Persian_105,24,1,8,trainval,cat,Persian
yorkshire_terrier_16,37,2,25,trainval,dog,yorkshire_terrier
Ragdoll_150,27,1,9,trainval,cat,Ragdoll
saint_bernard_177,29,2,19,trainval,dog,saint_bernard
keeshond_139,19,2,13,trainval,dog,keeshond
pug_110,26,2,18,trainval,dog,pug
leonberger_14,20,2,14,trainval,dog,leonberger
pug_115,26,2,18,trainval,dog,pug
scottish_terrier_136,31,2,21,trainval,dog,scottish_terrier
